,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name
214,0.707,0.0881,9,-11.797,0,0.125,0.296,0.773,0.0586,0.188,156.102,audio_features,4wmVRrGyNEovoPPDdZbFHN,spotify:track:4wmVRrGyNEovoPPDdZbFHN,https://api.spotify.com/v1/tracks/4wmVRrGyNEovoPPDdZbFHN,https://api.spotify.com/v1/audio-analysis/4wmVRrGyNEovoPPDdZbFHN,80086,4,Arcade Player,3am
215,0.819,0.582,9,-11.264,1,0.0761,0.00079,0.542,0.0694,0.972,189.833,audio_features,1r0EPkCn4bn7VzauKyOzjg,spotify:track:1r0EPkCn4bn7VzauKyOzjg,https://api.spotify.com/v1/tracks/1r0EPkCn4bn7VzauKyOzjg,https://api.spotify.com/v1/audio-analysis/1r0EPkCn4bn7VzauKyOzjg,101355,4,Arcade Player,4pm
216,0.894,0.268,7,-11.516,1,0.0974,0.102,0.903,0.0612,0.623,100.037,audio_features,79Q1SbFVL02PuuuGUvMRYY,spotify:track:79Q1SbFVL02PuuuGUvMRYY,https://api.spotify.com/v1/tracks/79Q1SbFVL02PuuuGUvMRYY,https://api.spotify.com/v1/audio-analysis/79Q1SbFVL02PuuuGUvMRYY,105372,4,Arcade Player,6pm
217,0.605,0.39,7,-6.571,1,0.0556,0.201,0.461,0.344,0.66,130.056,audio_features,7pTvxfgDsZDeeRpJ6RcP5I,spotify:track:7pTvxfgDsZDeeRpJ6RcP5I,https://api.spotify.com/v1/tracks/7pTvxfgDsZDeeRpJ6RcP5I,https://api.spotify.com/v1/audio-analysis/7pTvxfgDsZDeeRpJ6RcP5I,136464,4,Arcade Player,K.K. Bossa
218,0.761,0.345,7,-11.0,0,0.0746,0.731,0.926,0.104,0.888,104.023,audio_features,4lJGgbIsQYhGfIzQ6OrlAd,spotify:track:4lJGgbIsQYhGfIzQ6OrlAd,https://api.spotify.com/v1/tracks/4lJGgbIsQYhGfIzQ6OrlAd,https://api.spotify.com/v1/audio-analysis/4lJGgbIsQYhGfIzQ6OrlAd,110748,3,Arcade Player,K.K. Jazz
219,0.782,0.498,6,-7.687,1,0.126,0.97,0.965,0.111,0.964,104.013,audio_features,0TGkUJ3w6q7Taar2knEt4J,spotify:track:0TGkUJ3w6q7Taar2knEt4J,https://api.spotify.com/v1/tracks/0TGkUJ3w6q7Taar2knEt4J,https://api.spotify.com/v1/audio-analysis/0TGkUJ3w6q7Taar2knEt4J,18634,4,Arcade Player,"Museum, Bug Room & Aquarium"
220,0.784,0.515,6,-9.361,1,0.121,0.915,0.967,0.0842,0.708,103.981,audio_features,0Ox0OAOllOFpNuyJFJj2iw,spotify:track:0Ox0OAOllOFpNuyJFJj2iw,https://api.spotify.com/v1/tracks/0Ox0OAOllOFpNuyJFJj2iw,https://api.spotify.com/v1/audio-analysis/0Ox0OAOllOFpNuyJFJj2iw,41703,4,Arcade Player,"Museum, Fossil Room"
221,0.498,0.217,6,-5.952,1,0.0327,0.956,0.0,0.0576,0.765,104.114,audio_features,05DSnAhWilzGYMlotqvRRF,spotify:track:05DSnAhWilzGYMlotqvRRF,https://api.spotify.com/v1/tracks/05DSnAhWilzGYMlotqvRRF,https://api.spotify.com/v1/audio-analysis/05DSnAhWilzGYMlotqvRRF,27887,3,Arcade Player,"Museum, Painting Room"
222,0.713,0.798,1,-3.147,1,0.219,0.366,4.3e-06,0.246,0.721,176.073,audio_features,4z6wo6PJG4Fve45OXK6D9m,spotify:track:4z6wo6PJG4Fve45OXK6D9m,https://api.spotify.com/v1/tracks/4z6wo6PJG4Fve45OXK6D9m,https://api.spotify.com/v1/audio-analysis/4z6wo6PJG4Fve45OXK6D9m,221103,4,Arcangel,Infeliz
223,0.584,0.774,9,-5.867,0,0.0351,0.0875,2.2e-06,0.322,0.181,100.018,audio_features,34ebeHWIGQrAt99L1R2Kyn,spotify:track:34ebeHWIGQrAt99L1R2Kyn,https://api.spotify.com/v1/tracks/34ebeHWIGQrAt99L1R2Kyn,https://api.spotify.com/v1/audio-analysis/34ebeHWIGQrAt99L1R2Kyn,311986,4,Archive,Fuck U
