,start,duration,confidence,loudness,tempo,tempo_confidence,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,artist_name,track_name
3726,188.97153,23.30358,0.764,-3.933,186.001,0.354,3,0.0,1,0.0,4,0.4,BTS,MAMA
3727,0.0,8.18865,1.0,-15.855,169.36,0.75,3,0.668,1,0.583,4,1.0,BTS,MIC Drop
3728,8.18865,14.46054,1.0,-6.474,169.966,0.698,11,0.174,1,0.4,4,1.0,BTS,MIC Drop
3729,22.64919,52.23563,1.0,-4.883,170.018,0.578,1,0.309,1,0.195,4,1.0,BTS,MIC Drop
3730,74.88482,19.41666,0.794,-2.596,170.076,0.584,6,0.932,1,0.808,4,1.0,BTS,MIC Drop
3731,94.30148,49.78116,0.812,-3.788,170.143,0.385,11,0.495,1,0.433,4,1.0,BTS,MIC Drop
3732,144.08264,20.80643,0.054,-3.614,170.116,0.508,10,0.343,0,0.43,4,1.0,BTS,MIC Drop
3733,164.88907,22.59779,0.793,-2.326,170.104,0.551,6,0.632,1,0.645,4,1.0,BTS,MIC Drop
3734,187.48686,22.2262,0.37,-3.127,170.517,0.339,8,0.078,0,0.385,4,1.0,BTS,MIC Drop
3735,209.71306,22.57407,0.109,-4.246,169.936,0.407,10,0.24,0,0.38,4,1.0,BTS,MIC Drop
3736,232.28712,10.95079,0.615,-8.496,169.862,0.366,10,0.111,0,0.579,4,1.0,BTS,MIC Drop
3737,243.23792,22.93335,0.755,-3.34,169.976,0.363,10,0.733,0,0.665,4,1.0,BTS,MIC Drop
3738,266.17126,11.30878,0.706,-2.595,169.795,0.493,10,0.568,0,0.573,4,1.0,BTS,MIC Drop
3739,277.48004,22.59516,0.826,-4.069,169.685,0.373,8,0.064,1,0.336,4,1.0,BTS,MIC Drop
3740,300.07523,7.60061,1.0,-18.844,170.657,0.424,4,0.169,1,0.592,4,1.0,BTS,MIC Drop
3741,0.0,8.18865,1.0,-15.855,169.36,0.75,3,0.668,1,0.583,4,1.0,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition]
3742,8.18865,14.46054,1.0,-6.474,169.966,0.698,11,0.174,1,0.4,4,1.0,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition]
3743,22.64919,52.23563,1.0,-4.883,170.018,0.578,1,0.309,1,0.195,4,1.0,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition]
3744,74.88482,19.41666,0.794,-2.596,170.076,0.584,6,0.932,1,0.808,4,1.0,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition]
3745,94.30148,49.78116,0.812,-3.788,170.143,0.385,11,0.495,1,0.433,4,1.0,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition]
3746,144.08264,20.80643,0.054,-3.614,170.116,0.508,10,0.343,0,0.43,4,1.0,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition]
3747,164.88907,22.59779,0.793,-2.326,170.104,0.551,6,0.632,1,0.645,4,1.0,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition]
